bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
15865A,RAL_220-5,RAL 220-5,"[84, 0, 71, 30]","[85, 5, 90, 5]",#15865A,"[21, 134, 90]"
087058,RAL_220-6,RAL 220-6,"[100, 44, 90, 10]","[100, 0, 100, 20]",#087058,"[8, 112, 88]"
008752,RAL_220-M,RAL 220-M,"[100, 18, 100, 5]","[100, 0, 90, 5]",#008752,"[0, 135, 82]"
B2E5A0,RAL_230-1,RAL 230-1,"[37, 0, 60, 0]","[20, 0, 30, 0]",#B2E5A0,"[178, 229, 160]"
85D375,RAL_230-2,RAL 230-2,"[52, 0, 72, 0]","[30, 0, 90, 0]",#85D375,"[133, 211, 117]"
64C04E,RAL_230-3,RAL 230-3,"[66, 0, 100, 0]","[35, 0, 100, 0]",#64C04E,"[100, 192, 78]"
4AA245,RAL_230-4,RAL 230-4,"[73, 7, 100, 5]","[45, 0, 100, 5]",#4AA245,"[74, 162, 69]"
307343,RAL_230-5,RAL 230-5,"[87, 16, 100, 45]","[70, 0, 90, 20]",#307343,"[48, 115, 67]"
32663D,RAL_230-6,RAL 230-6,"[86, 20, 100, 60]","[60, 5, 100, 40]",#32663D,"[50, 102, 61]"
60B365,RAL_230-M,RAL 230-M,"[72, 0, 90, 10]","[50, 0, 100, 0]",#60B365,"[96, 179, 101]"
D2E094,RAL_240-1,RAL 240-1,"[17, 0, 50, 0]","[5, 0, 30, 0]",#D2E094,"[210, 224, 148]"
A0BC6C,RAL_240-2,RAL 240-2,"[33, 0, 70, 20]","[30, 0, 80, 5]",#A0BC6C,"[160, 188, 108]"
8AA25C,RAL_240-3,RAL 240-3,"[46, 7, 80, 25]","[30, 0, 90, 13]",#8AA25C,"[138, 162, 92]"
788A4D,RAL_240-4,RAL 240-4,"[61, 37, 90, 20]","[30, 5, 100, 25]",#788A4D,"[120, 138, 77]"
567846,RAL_240-5,RAL 240-5,"[57, 0, 88, 60]","[40, 0, 100, 40]",#567846,"[86, 120, 70]"
467840,RAL_240-6,RAL 240-6,"[88, 47, 100, 10]","[60, 0, 100, 10]",#467840,"[70, 120, 64]"
5E7E47,RAL_240-M,RAL 240-M,"[74, 32, 100, 25]","[40, 10, 100, 20]",#5E7E47,"[94, 126, 71]"
E8EFA8,RAL_250-1,RAL 250-1,"[4, 0, 45, 0]","[3, 0, 30, 0]",#E8EFA8,"[232, 239, 168]"
DBEB75,RAL_250-2,RAL 250-2,"[12, 0, 70, 0]","[4, 0, 100, 0]",#DBEB75,"[219, 235, 117]"
B2C614,RAL_250-3,RAL 250-3,"[31, 0, 100, 10]","[15, 0, 80, 5]",#B2C614,"[178, 198, 20]"
96B24A,RAL_250-4,RAL 250-4,"[36, 0, 90, 25]","[20, 0, 100, 5]",#96B24A,"[150, 178, 74]"
879D40,RAL_250-5,RAL 250-5,"[62, 32, 100, 0]","[30, 0, 100, 10]",#879D40,"[135, 157, 64]"
647036,RAL_250-6,RAL 250-6,"[27, 4, 90, 70]","[20, 0, 100, 55]",#647036,"[100, 112, 54]"
AFB95C,RAL_250-M,RAL 250-M,"[42, 20, 90, 10]","[5, 0, 100, 20]",#AFB95C,"[175, 185, 92]"
ECF1B8,RAL_260-1,RAL 260-1,"[0, 0, 39, 3]","[0, 0, 20, 0]",#ECF1B8,"[236, 241, 184]"
E8F088,RAL_260-2,RAL 260-2,"[4, 0, 64, 0]","[0, 0, 45, 0]",#E8F088,"[232, 240, 136]"
E8E250,RAL_260-3,RAL 260-3,"[5, 6, 90, 0]","[0, 0, 100, 0]",#E8E250,"[232, 226, 80]"
DECD2D,RAL_260-4,RAL 260-4,"[11, 14, 100, 0]","[0, 0, 100, 3]",#DECD2D,"[222, 205, 45]"
D6BE36,RAL_260-5,RAL 260-5,"[16, 28, 100, 0]","[0, 7, 100, 5]",#D6BE36,"[214, 190, 54]"
E4C126,RAL_260-6,RAL 260-6,"[0, 26, 100, 0]","[0, 11, 100, 0]",#E4C126,"[228, 193, 38]"
B7A35C,RAL_260-M,RAL 260-M,"[17, 31, 80, 10]","[5, 20, 100, 10]",#B7A35C,"[183, 163, 92]"
F7E987,RAL_270-1,RAL 270-1,"[0, 5, 64, 0]","[0, 3, 60, 0]",#F7E987,"[247, 233, 135]"
EFD843,RAL_270-2,RAL 270-2,"[0, 14, 93, 0]","[0, 5, 100, 0]",#EFD843,"[239, 216, 67]"
EACA25,RAL_270-3,RAL 270-3,"[5, 22, 100, 0]","[0, 10, 100, 0]",#EACA25,"[234, 202, 37]"
E0BF01,RAL_270-4,RAL 270-4,"[12, 29, 100, 0]","[0, 10, 100, 4]",#E0BF01,"[224, 191, 1]"
EDC500,RAL_270-5,RAL 270-5,"[7, 26, 100, 0]","[0, 10, 100, 3]",#EDC500,"[237, 197, 0]"
F4D24A,RAL_270-6,RAL 270-6,"[0, 17, 82, 0]","[0, 8, 100, 0]",#F4D24A,"[244, 210, 74]"
C09A3A,RAL_270-M,RAL 270-M,"[16, 34, 100, 15]","[0, 20, 100, 10]",#C09A3A,"[192, 154, 58]"
F4EC99,RAL_280-1,RAL 280-1,"[0, 7, 60, 0]","[0, 3, 30, 0]",#F4EC99,"[244, 236, 153]"
EADE95,RAL_280-2,RAL 280-2,"[6, 8, 50, 0]","[0, 4, 30, 0]",#EADE95,"[234, 222, 149]"
DCC87C,RAL_280-3,RAL 280-3,"[4, 17, 60, 7]","[0, 7, 50, 5]",#DCC87C,"[220, 200, 124]"
D0BC64,RAL_280-4,RAL 280-4,"[5, 17, 69, 8]","[5, 20, 100, 0]",#D0BC64,"[208, 188, 100]"
D7AE46,RAL_280-5,RAL 280-5,"[16, 43, 90, 0]","[0, 23, 100, 5]",#D7AE46,"[215, 174, 70]"
CAA345,RAL_280-6,RAL 280-6,"[8, 46, 90, 10]","[0, 33, 100, 5]",#CAA345,"[202, 163, 69]"
B89E59,RAL_280-M,RAL 280-M,"[22, 51, 90, 5]","[5, 20, 100, 8]",#B89E59,"[184, 158, 89]"
D1A659,RAL_290-1,RAL 290-1,"[7, 47, 80, 0]","[0, 25, 100, 5]",#D1A659,"[209, 166, 89]"
