bgcolor,name,value1,value2,value3,value4,hex,r,g,b
FDA951,NCS S 1050-Y30R,0,42,72,0,#FDA951,253,169,81
F7953A,NCS S 1060-Y30R,0,50,80,0,#F7953A,247,149,58
F3871C,NCS S 1070-Y30R,0,55,90,0,#F3871C,243,135,28
EF7900,NCS S 1080-Y30R,0,60,98,0,#EF7900,239,121,0
E9DEC4,NCS S 1505-Y30R,0,5,20,10,#E9DEC4,233,222,196
E7D3A7,NCS S 1510-Y30R,0,10,35,10,#E7D3A7,231,211,167
F1CB93,NCS S 1515-Y30R,0,20,45,5,#F1CB93,241,203,147
D6CBB5,NCS S 2005-Y30R,0,7,20,18,#D6CBB5,214,203,181
CAB38D,NCS S 2010-Y30R,0,15,37,22,#CAB38D,202,179,141
DDB27E,NCS S 2020-Y30R,0,26,49,12,#DDB27E,221,178,126
DFA463,NCS S 2030-Y30R,0,35,62,10,#DFA463,223,164,99
E99E53,NCS S 2040-Y30R,0,42,70,5,#E99E53,233,158,83
E1873C,NCS S 2050-Y30R,0,51,79,6,#E1873C,225,135,60
E07D20,NCS S 2060-Y30R,0,55,90,5,#E07D20,224,125,32
DE7100,NCS S 2070-Y30R,0,60,100,8,#DE7100,222,113,0
CE6800,NCS S 2570-Y30R,0,60,100,15,#CE6800,206,104,0
B3A081,NCS S 3010-Y30R,0,15,35,32,#B3A081,179,160,129
B99368,NCS S 3020-Y30R,0,28,50,27,#B99368,185,147,104
B88047,NCS S 3030-Y30R,0,40,68,25,#B88047,184,128,71
B46D30,NCS S 3040-Y30R,0,50,78,25,#B46D30,180,109,48
BC6923,NCS S 3050-Y30R,0,55,85,20,#BC6923,188,105,35
C06000,NCS S 3060-Y30R,0,60,100,22,#C06000,192,96,0
A65200,NCS S 3560-Y30R,0,60,100,35,#A65200,166,82,0
947C5C,NCS S 4010-Y30R,0,23,45,45,#947C5C,148,124,92
966D44,NCS S 4020-Y30R,0,37,60,42,#966D44,150,109,68
A26837,NCS S 4030-Y30R,0,46,70,35,#A26837,162,104,55
97551E,NCS S 4040-Y30R,0,53,82,40,#97551E,151,85,30
9B4800,NCS S 4050-Y30R,0,62,98,40,#9B4800,155,72,0
883F00,NCS S 4550-Y30R,0,62,100,50,#883F00,136,63,0
7E6245,NCS S 5010-Y30R,0,30,50,55,#7E6245,126,98,69
7F5937,NCS S 5020-Y30R,0,40,60,53,#7F5937,127,89,55
885229,NCS S 5030-Y30R,0,50,72,48,#885229,136,82,41
7A3801,NCS S 5040-Y30R,0,60,90,55,#7A3801,122,56,1
6F533C,NCS S 6010-Y30R,0,35,50,62,#6F533C,111,83,60
704325,NCS S 6020-Y30R,0,50,68,60,#704325,112,67,37
592904,NCS S 6030-Y30R,0,60,85,70,#592904,89,41,4
584025,NCS S 7010-Y30R,0,35,60,72,#584025,88,64,37
4C2C15,NCS S 7020-Y30R,0,51,71,76,#4C2C15,76,44,21
FFF3D7,NCS S 0505-Y40R,0,5,21,0,#FFF3D7,255,243,215
FFF3D7,NCS S 0505-Y40R,0,5,21,0,#FFF3D7,255,243,215
FFF2D3,NCS S 0507-Y40R,0,6,23,0,#FFF2D3,255,242,211
FFEBC7,NCS S 0510-Y40R,0,10,28,0,#FFEBC7,255,235,199
FFE6B8,NCS S 0515-Y40R,0,12,35,0,#FFE6B8,255,230,184
FFD7A5,NCS S 0520-Y40R,0,20,40,0,#FFD7A5,255,215,165
FFC388,NCS S 0530-Y40R,0,30,50,0,#FFC388,255,195,136
FEAF6D,NCS S 0540-Y40R,0,40,60,0,#FEAF6D,254,175,109
FB974D,NCS S 0550-Y40R,0,50,70,0,#FB974D,251,151,77
F48032,NCS S 0560-Y40R,0,59,80,0,#F48032,244,128,50
F27A1A,NCS S 0570-Y40R,0,61,90,0,#F27A1A,242,122,26
EC6D00,NCS S 0580-Y40R,0,65,100,0,#EC6D00,236,109,0
EC6D00,NCS S 0585-Y40R,0,65,100,0,#EC6D00,236,109,0
FFF9E9,NCS S 0603-Y40R,0,2,12,0,#FFF9E9,255,249,233
F4E9D6,NCS S 1005-Y40R,0,5,15,5,#F4E9D6,244,233,214
F8DFC2,NCS S 1010-Y40R,0,13,25,3,#F8DFC2,248,223,194
FFDBAB,NCS S 1015-Y40R,0,18,38,0,#FFDBAB,255,219,171
FFCD9C,NCS S 1020-Y40R,0,25,42,0,#FFCD9C,255,205,156
FFBF84,NCS S 1030-Y40R,0,32,51,0,#FFBF84,255,191,132
FEAF6D,NCS S 1040-Y40R,0,40,60,0,#FEAF6D,254,175,109
FC9E50,NCS S 1050-Y40R,0,47,70,0,#FC9E50,252,158,80
